2.21,1.52,0.0
3.15,2.18,0.0
2.83,2.11,0.0
1.56,3.92,1.0
1.48,4.21,1.0
2.74,1.89,0.0
3.56,1.25,0.0
1.22,4.55,1.0
2.95,1.78,0.0
3.22,1.45,0.0
1.35,4.12,1.0
2.67,2.02,0.0
3.78,1.15,0.0
1.18,4.68,1.0
2.88,1.92,0.0
3.45,1.32,0.0
1.42,4.35,1.0
2.79,1.86,0.0
3.61,1.21,0.0
1.29,4.48,1.0
2.92,1.75,0.0
3.38,1.38,0.0
1.51,4.05,1.0
2.81,1.88,0.0
3.52,1.28,0.0
1.38,4.25,1.0
2.85,1.95,0.0
3.68,1.18,0.0
1.25,4.58,1.0
2.97,1.72,0.0
3.25,1.42,0.0
1.48,4.18,1.0
2.76,1.82,0.0
3.58,1.24,0.0
1.32,4.38,1.0
2.89,1.78,0.0
3.42,1.35,0.0
1.55,3.98,1.0
2.83,1.91,0.0
3.48,1.29,0.0
1.41,4.28,1.0
2.87,1.85,0.0
3.65,1.19,0.0
1.27,4.52,1.0
2.94,1.74,0.0
3.32,1.39,0.0
1.45,4.15,1.0
2.78,1.84,0.0
3.55,1.26,0.0
1.35,4.32,1.0
2.86,1.88,0.0
3.62,1.22,0.0
1.23,4.62,1.0
2.96,1.76,0.0
3.28,1.44,0.0
1.52,4.08,1.0
2.8,1.86,0.0
3.5,1.27,0.0
1.39,4.22,1.0
2.84,1.9,0.0
3.6,1.2,0.0
1.26,4.55,1.0
2.93,1.73,0.0
3.35,1.36,0.0
1.47,4.12,1.0
2.77,1.83,0.0
3.53,1.25,0.0
1.34,4.35,1.0
2.88,1.87,0.0
3.63,1.21,0.0
1.24,4.58,1.0
2.95,1.75,0.0
3.3,1.41,0.0
1.5,4.05,1.0
2.82,1.85,0.0
3.57,1.23,0.0
1.37,4.28,1.0
2.9,1.8,0.0
3.4,1.33,0.0
1.53,4.02,1.0
2.79,1.87,0.0
3.51,1.26,0.0
1.36,4.3,1.0
2.87,1.89,0.0
3.66,1.18,0.0
1.22,4.65,1.0
2.98,1.71,0.0
3.26,1.43,0.0
1.49,4.1,1.0
2.81,1.84,0.0
3.54,1.24,0.0
1.33,4.4,1.0
2.91,1.79,0.0
3.38,1.34,0.0
1.54,4.0,1.0
2.8,1.86,0.0
3.52,1.28,0.0
1.4,4.24,1.0
2.85,1.88,0.0
3.61,1.2,0.0
1.28,4.5,1.0
2.94,1.74,0.0
3.33,1.38,0.0
1.46,4.14,1.0
2.78,1.83,0.0
3.56,1.22,0.0
1.31,4.42,1.0
2.89,1.81,0.0
3.43,1.32,0.0
1.51,4.06,1.0
2.82,1.85,0.0
3.49,1.27,0.0
1.38,4.26,1.0
2.86,1.9,0.0
3.64,1.19,0.0
1.25,4.56,1.0
2.97,1.72,0.0
3.27,1.45,0.0
1.48,4.11,1.0
2.77,1.82,0.0
3.55,1.23,0.0
1.35,4.34,1.0
2.88,1.86,0.0
3.6,1.21,0.0
1.27,4.48,1.0
2.93,1.76,0.0
3.31,1.37,0.0
1.52,4.03,1.0
2.79,1.87,0.0
3.5,1.26,0.0
1.41,4.2,1.0
2.84,1.89,0.0
3.62,1.18,0.0
1.23,4.6,1.0
2.96,1.73,0.0
3.29,1.42,0.0
1.47,4.13,1.0
2.81,1.84,0.0
3.53,1.24,0.0
1.32,4.38,1.0
2.9,1.8,0.0
3.39,1.33,0.0
1.54,4.01,1.0
2.8,1.86,0.0
3.48,1.28,0.0
1.39,4.22,1.0
2.85,1.88,0.0
3.59,1.2,0.0
1.26,4.52,1.0
2.94,1.75,0.0
3.34,1.39,0.0
1.5,4.07,1.0
2.78,1.83,0.0
3.56,1.22,0.0
1.36,4.32,1.0
2.87,1.85,0.0
3.65,1.17,0.0
1.24,4.58,1.0
2.98,1.71,0.0
3.25,1.44,0.0
1.49,4.09,1.0

