1699.0,262.0
1774.0,239.0
1662.0,282.0
1597.0,304.0
1756.0,247.0
1649.0,289.0
1730.0,254.0
1681.0,275.0
1785.0,233.0
1715.0,259.0
1657.0,285.0
1798.0,228.0
1674.0,278.0
1743.0,250.0
1618.0,296.0
1809.0,221.0
1669.0,281.0
1722.0,257.0
1634.0,293.0
1765.0,244.0
1702.0,263.0
1780.0,235.0
1645.0,290.0
1815.0,218.0
1688.0,272.0
1751.0,248.0
1627.0,295.0
1793.0,230.0
1679.0,277.0
1738.0,252.0
1654.0,287.0
1779.0,236.0
1709.0,261.0
1608.0,300.0
1819.0,216.0
1665.0,283.0
1728.0,255.0
1642.0,291.0
1763.0,245.0
1694.0,265.0
1789.0,232.0
1672.0,279.0
1747.0,249.0
1615.0,297.0
1805.0,222.0
1660.0,284.0
1718.0,258.0
1638.0,292.0
1758.0,246.0

